word,frequency,condition,pair_id,test_control,group_id
bird,high,regular_control,49,control,3
bag,high,regular_control,50,control,3
by,high,regular_control,51,control,3
clean,high,regular_control,52,control,3
corn,high,regular_control,53,control,3
draw,high,regular_control,54,control,3
dust,high,regular_control,55,control,3
fish,high,regular_control,56,control,3
fine,high,regular_control,57,control,3
fast,high,regular_control,58,control,3
feet,high,regular_control,59,control,3
get,high,regular_control,60,control,3
girl,high,regular_control,61,control,3
gold,high,regular_control,62,control,3
help,high,regular_control,63,control,3
high,high,regular_control,64,control,3
mile,high,regular_control,65,control,3
plate,high,regular_control,66,control,3
piece,high,regular_control,67,control,3
rod,high,regular_control,68,control,3
rice,high,regular_control,69,control,3
sent,high,regular_control,70,control,3
such,high,regular_control,71,control,3
skin,high,regular_control,72,control,3
brisk,low,regular_control,73,control,4
code,low,regular_control,74,control,4
cane,low,regular_control,75,control,4
cope,low,regular_control,76,control,4
clang,low,regular_control,77,control,4
dime,low,regular_control,78,control,4
fawn,low,regular_control,79,control,4
gong,low,regular_control,80,control,4
hide,low,regular_control,81,control,4
hike,low,regular_control,82,control,4
loom,low,regular_control,83,control,4
leg,low,regular_control,84,control,4
luck,low,regular_control,85,control,4
mix,low,regular_control,86,control,4
mole,low,regular_control,87,control,4
mist,low,regular_control,88,control,4
moist,low,regular_control,89,control,4
math,low,regular_control,90,control,4
pail,low,regular_control,91,control,4
peep,low,regular_control,92,control,4
peach,low,regular_control,93,control,4
reef,low,regular_control,94,control,4
taps,low,regular_control,95,control,4
tend,low,regular_control,96,control,4
