cycle, phonlength, accuracy, loss
1, 4, 0.8958728909492493, 9.74968147277832
1, 5, 0.9030640721321106, 9.011907577514648
1, 6, 0.9037172794342041, 8.435489654541016
1, 7, 0.9082604646682739, 7.808276653289795
1, 8, 0.9146538972854614, 7.259263515472412
1, 9, 0.9244961738586426, 6.993586540222168
4, 4, 0.935013473033905, 8.63598346710205
4, 5, 0.9328453540802002, 7.999820232391357
4, 6, 0.9316094517707825, 7.602360725402832
4, 7, 0.9363400936126709, 7.055898666381836
4, 8, 0.9384546875953674, 6.385774612426758
4, 9, 0.9367649555206299, 5.735146999359131
