CONSISTENT_HF,INCONSISTENT_HF,CONSISTENT_LF,INCONSISTENT_LF
coffee,common,cosmos,column
corner,couple,corpus,corset
dinner,danger,dazzle,dangle
doctor,damage,dimple,dither
finger,figure,filter,fiscal
former,fellow,format,foster
happen,heaven,hamper,hazard
market,modest,marvel,margin
matter,master,mingle,mildew
middle,modern,motive,mangle
pardon,palace,pillar,picnic
sector,season,spider,spiral
seldom,second,stable,staple
simple,social,sandal,savage
terror,target,tendon,tether
winter,window,wombat,wobble
