TARGET_HF,CONTROL_HF,TARGET_LF,CONTROL_LF
are,out,bowl,bus
both,big,broad,broke
break,best,bush,beam
choose,class,deaf,deed
come,came,doll,dots
do,did,flood,float
does,tell,gross,grape
done,dark,lose,lunch
foot,fact,pear,peel
give,got,phase,fade
great,group,pint,pitch
have,him,plow,pump
move,main,rouse,ripe
put,place,sew,slip
pull,page,shoe,sank
said,see,spook,slam
says,stop,swamp,stunt
shall,soon,swarm,swore
want,which,touch,trunk
watch,week,wad,wit
were,with,wand,weld
what,when,wash,wax
word,write,wool,wing
work,will,worm,wake
