Phon,Front,Cent.,Back,Close,C-mid,Mid,O-mid,N-open,Open,Tense,Rnd.,y_,w_,1ary,2ary,Start,End
AA0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AE0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AH0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AO0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
AW0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
AX0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AXR0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AY0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
EH0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
ER0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EY0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
IH0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IX0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
IY0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
OW0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
OY0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
UH0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
UW0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
UX0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
